Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;12.6;12.5;12.8;24.2;13.5;12.8;35.0;14.7;14.0;15.0
2;16.4;16.7;16.2;33.5;18.3;18.2;47.8;19.5;18.9;18.6
3;19.2;19.7;20.2;47.4;26.4;27.3;60.2;22.7;22.1;23.1
4;26.0;24.2;24.4;84.3;34.9;31.2;72.5;27.9;29.7;26.4
5;29.0;29.6;27.8;;60.4;66.3;79.5;30.6;31.9;32.6
6;32.0;30.5;30.3;;74.6;89.1;83.8;38.0;37.6;35.4
7;35.0;36.8;36.2;;83.9;111.1;105.7;37.1;38.9;41.3
8;37.9;37.0;39.3;;121.1;153.8;106.4;41.6;37.6;41.8
9;38.8;41.0;40.3;;176.7;188.7;117.9;24.7;45.8;45.4
10;43.7;43.9;44.1;;393.7;335.6;127.2;;51.4;50.0
