Metric;Value
Total rolls;16939
;
Category;Estimated Weight
ATK;13.3695%
Break Effect;4.3115%
CRIT DMG;8.8573%
CRIT Rate;9.1052%
DEF;13.3341%
Debuff Hit Rate;11.4843%
Debuff RES;11.4942%
HP Recovery;11.5335%
Max HP;13.3400%
SPD;3.1702%
;
Tier Distributions;
ATK;
ATK +6;20.0029%
ATK +7;14.7925%
ATK +8;12.6141%
ATK +9;9.9352%
ATK +10;8.3603%
ATK +12;8.2131%
ATK +15;6.9915%
ATK +20;6.7412%
ATK +30;6.4174%
Increases ATK by 60.;5.9317%
Break Effect;
Increases break effect by 5%.;20.7211%
Increases break effect by 5.2%.;14.1944%
Increases break effect by 5.4%.;12.3231%
Increases break effect by 5.6%.;10.5888%
Increases break effect by 5.8%.;9.2652%
Increases break effect by 6%.;8.3980%
Increases break effect by 6.2%.;6.8462%
Increases break effect by 6.6%.;6.4354%
Increases break effect by 6.4%.;6.2072%
Increases break effect by 12%.;5.0205%
CRIT DMG;
Increases critical DMG by 0.9%.;30.8154%
Increases critical DMG by 1.8%.;21.7063%
Increases critical DMG by 2.7%.;14.0635%
Increases critical DMG by 3.6%.;12.7527%
Increases critical DMG by 4.5%.;6.0209%
Increases critical DMG by 5.4%.;4.6878%
Increases critical DMG by 6.3%.;4.0435%
Increases critical DMG by 7.2%.;2.6661%
Increases critical DMG by 8.1%.;2.3106%
Increases critical DMG by 10%.;0.9331%
CRIT Rate;
Increases critical rate by 0.5%.;29.8466%
Increases critical rate by 1%.;20.9423%
Increases critical rate by 1.5%.;15.1718%
Increases critical rate by 2%.;11.3032%
Increases critical rate by 2.5%.;6.5917%
Increases critical rate by 3%.;5.0573%
Increases critical rate by 3.5%.;4.5602%
Increases critical rate by 4%.;3.2851%
Increases critical rate by 4.5%.;2.3125%
Increases critical rate by 5%.;0.9293%
DEF;
DEF +5;19.4805%
DEF +6;14.4185%
DEF +7;12.8099%
DEF +8;10.3306%
DEF +9;8.9728%
DEF +10;7.9250%
DEF +11;7.2019%
DEF +15;6.8182%
DEF +23;6.2426%
DEF +45;5.7999%
Debuff Hit Rate;
Increases debuff hit rate by 1%.;19.5511%
Increases debuff hit rate by 1.2%.;14.3420%
Increases debuff hit rate by 1.5%.;12.5428%
Increases debuff hit rate by 2%.;9.7498%
Increases debuff hit rate by 2.5%.;8.8417%
Increases debuff hit rate by 3%.;8.0706%
Increases debuff hit rate by 3.5%.;7.6080%
Increases debuff hit rate by 4%.;7.1282%
Increases debuff hit rate by 4.5%.;6.4256%
Increases debuff hit rate by 8%.;5.7402%
Debuff RES;
Increases debuff RES by 1%.;18.2845%
Increases debuff RES by 1.2%.;15.4083%
Increases debuff RES by 1.5%.;12.4123%
Increases debuff RES by 2%.;10.3236%
Increases debuff RES by 2.5%.;8.8855%
Increases debuff RES by 3%.;8.1493%
Increases debuff RES by 3.5%.;7.3618%
Increases debuff RES by 4%.;7.2419%
Increases debuff RES by 4.5%.;6.4030%
Increases Debuff RES by 8%.;5.5299%
HP Recovery;
Increases HP recovery amount by 1%.;18.9217%
Increases HP recovery amount by 1.2%.;14.7586%
Increases HP recovery amount by 1.5%.;12.4382%
Increases HP recovery amount by 8%.;12.0798%
Increases HP recovery amount by 2%.;9.8789%
Increases HP recovery amount by 2.5%.;9.2305%
Increases HP recovery amount by 3.5%.;7.7973%
Increases HP recovery amount by 3%.;7.6779%
Increases HP recovery amount by 4%.;7.2172%
Max HP;
Max HP +40;19.1474%
Max HP +82;15.3120%
Max HP +124;13.1878%
Max HP +166;9.7212%
Max HP +208;8.6443%
Max HP +251;8.0395%
Max HP +293;7.0512%
Max HP +335;6.6381%
Max HP +377;6.1661%
Max HP +420;6.0923%
SPD;
Increases SPD by 1.;38.7958%
Increases SPD by 2.;29.8572%
Increases SPD by 3.;19.9876%
Increases SPD by 4.;11.3594%
