Metric;Value
Total rolls;26982
;
Category;Estimated Weight
ATK;13.7034%
Break Effect;4.3285%
CRIT DMG;8.0054%
CRIT Rate;7.9659%
DEF;13.7345%
Debuff Hit Rate;11.8248%
Debuff RES;11.7148%
HP Recovery;11.7528%
Max HP;13.8416%
SPD;3.1283%
;
Tier Distributions;
ATK;
ATK +6;20.0391%
ATK +7;14.9444%
ATK +8;12.6698%
ATK +9;10.2305%
ATK +10;8.5220%
ATK +12;7.9662%
ATK +15;6.9885%
ATK +20;6.8135%
ATK +30;6.2474%
Increases ATK by 60.;5.5784%
Break Effect;
Increases break effect by 5%.;20.6582%
Increases break effect by 5.2%.;14.8257%
Increases break effect by 5.4%.;12.3493%
Increases break effect by 5.6%.;10.3291%
Increases break effect by 5.8%.;8.9932%
Increases break effect by 6%.;8.4718%
Increases break effect by 6.2%.;6.8426%
Increases break effect by 6.4%.;6.2887%
Increases break effect by 6.6%.;5.8977%
Increases break effect by 12%.;5.3438%
CRIT DMG;
Increases critical DMG by 0.9%.;30.9197%
Increases critical DMG by 1.8%.;21.8816%
Increases critical DMG by 2.7%.;14.1121%
Increases critical DMG by 3.6%.;12.6321%
Increases critical DMG by 4.5%.;5.9549%
Increases critical DMG by 5.4%.;4.6335%
Increases critical DMG by 6.3%.;3.7703%
Increases critical DMG by 7.2%.;2.7484%
Increases critical DMG by 8.1%.;2.1846%
Increases critical DMG by 10%.;1.1628%
CRIT Rate;
Increases critical rate by 0.5%.;29.6388%
Increases critical rate by 1%.;20.9809%
Increases critical rate by 1.5%.;15.2266%
Increases critical rate by 2%.;11.3846%
Increases critical rate by 2.5%.;6.4448%
Increases critical rate by 3%.;5.2408%
Increases critical rate by 3.5%.;4.4795%
Increases critical rate by 4%.;3.1693%
Increases critical rate by 4.5%.;2.3902%
Increases critical rate by 5%.;1.0446%
DEF;
DEF +5;19.3982%
DEF +6;15.3317%
DEF +7;12.7131%
DEF +8;10.4334%
DEF +9;8.9341%
DEF +10;8.0304%
DEF +11;7.0343%
DEF +15;6.5825%
DEF +23;6.0998%
DEF +45;5.4426%
Debuff Hit Rate;
Increases debuff hit rate by 1%.;20.1217%
Increases debuff hit rate by 1.2%.;14.8139%
Increases debuff hit rate by 1.5%.;12.2853%
Increases debuff hit rate by 2%.;9.7448%
Increases debuff hit rate by 2.5%.;8.8979%
Increases debuff hit rate by 3%.;7.7648%
Increases debuff hit rate by 3.5%.;7.4427%
Increases debuff hit rate by 4%.;7.2281%
Increases debuff hit rate by 4.5%.;6.1069%
Increases debuff hit rate by 8%.;5.5940%
Debuff RES;
Increases debuff RES by 1%.;19.2150%
Increases debuff RES by 1.2%.;15.2661%
Increases debuff RES by 1.5%.;12.2442%
Increases debuff RES by 2%.;10.3901%
Increases debuff RES by 2.5%.;8.9333%
Increases debuff RES by 3%.;8.0424%
Increases debuff RES by 3.5%.;7.1394%
Increases debuff RES by 4%.;7.0070%
Increases debuff RES by 4.5%.;6.2726%
Increases Debuff RES by 8%.;5.4900%
HP Recovery;
Increases HP recovery amount by 1%.;19.2728%
Increases HP recovery amount by 1.2%.;14.8446%
Increases HP recovery amount by 1.5%.;12.7685%
Increases HP recovery amount by 8%.;11.7485%
Increases HP recovery amount by 2%.;10.0924%
Increases HP recovery amount by 2.5%.;9.0124%
Increases HP recovery amount by 3%.;7.7283%
Increases HP recovery amount by 3.5%.;7.6083%
Increases HP recovery amount by 4%.;6.9243%
Max HP;
Max HP +40;19.4722%
Max HP +82;15.4371%
Max HP +124;13.0630%
Max HP +166;9.6699%
Max HP +208;8.5490%
Max HP +251;7.9784%
Max HP +293;7.1327%
Max HP +335;6.7047%
Max HP +377;6.2156%
Max HP +420;5.7775%
SPD;
Increases SPD by 1.;39.5852%
Increases SPD by 2.;29.5762%
Increases SPD by 3.;19.3868%
Increases SPD by 4.;11.4518%
