Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;1911;1947;1889;878;1674;1755;634;1606;1687;1596
2;1515;1452;1493;656;1185;1242;455;1237;1242;1268
3;1282;1231;1238;430;860;801;379;1064;1030;1017
4;949;994;1016;254;643;717;317;841;817;863
5;839;828;870;;364;338;276;751;746;742
6;783;774;782;;296;263;260;644;651;668
7;700;679;685;;253;214;210;634;624;593
8;658;662;641;;179;156;193;577;606;582
9;610;607;594;;135;124;181;979;512;521
10;567;542;530;;59;66;164;;469;456
