Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;12.3;12.2;13.1;26.1;14.5;13.1;33.2;14.8;14.0;13.7
2;15.6;16.5;15.9;37.6;20.0;18.6;50.6;18.7;18.8;18.6
3;18.9;18.9;19.6;53.1;26.9;29.9;58.4;22.8;22.9;23.4
4;24.3;24.8;23.8;86.1;36.8;32.9;68.3;28.8;28.3;27.9
5;29.9;30.0;28.6;;68.9;68.8;78.7;30.5;30.6;31.0
6;31.4;32.0;30.3;;80.1;97.8;82.6;36.6;34.9;35.2
7;35.9;35.1;35.4;;91.6;116.0;99.2;37.7;37.5;39.9
8;37.7;35.9;36.4;;152.4;148.4;110.1;42.1;39.2;40.0
9;39.4;37.6;41.0;;177.3;230.4;125.6;23.6;45.9;42.7
10;40.5;44.3;45.6;;390.6;344.8;133.0;;54.3;50.4
