Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;2254;2298;2210;898;1791;1908;738;1873;1957;1893
2;1791;1702;1747;679;1263;1352;537;1455;1462;1456
3;1487;1458;1419;443;920;873;446;1220;1212;1174
4;1151;1145;1164;263;692;778;366;972;951;989
5;970;966;998;;384;363;317;861;871;867
6;901;893;912;;310;277;291;741;756;782
7;804;810;799;;268;224;252;735;720;689
8;767;784;754;;184;168;224;663;708;664
9;702;710;672;;144;128;200;1134;591;587
10;650;638;607;;63;69;185;;542;542
